trail_name,latitude,longitude
Niederhorn-Panoramaweg,46.72403196608075,7.812758061992603
Eiger Trail,46.58785402400189,7.99720270666254
Liechtensteiner Panoramaweg,47.166039754784926,9.56158163022225
Mountain View Trail,46.57800210777243,7.885406886557214
Grenzpfad Napfbergland,46.94945210156806,7.9248212867153764
Bergweg Kraftort Grimmiwasser,46.55324509851779,7.478266136869463
Rheintaler Höhenweg,47.27449523702845,9.498807002217871
Sentier du Vitrail de Romont,46.68897034235761,6.938304828970244
Chemin du Jura,47.364910216260476,7.157682902566665
Zürcher Weinland Weg,47.64027631819076,8.673915820235047
ViaRhenana,47.57646931619847,8.397937775064728
Swiss Tour Monte Rosa,46.111057856111415,7.812893577318696
Benediktusweg,46.87668357434681,8.4108735628611
Bärfallen-Panorama-Weg,46.9246188387981,8.4557424114084
Toggenburger Höhenweg,47.2453802274445,9.086946246056925
Fribourg en diagonale,46.75755760995253,7.081993619307907
Nidwaldner Zentrumsweg,46.94540425448567,8.416312381177793
ViaJacobi,46.697091991572336,7.739182431924962
ViaSpluga,46.51387229451521,9.332605326605995
Wildbeobachtungspfad Emmetten,46.9279918002492,8.518355312222253
Senda Segantini,46.42931055679457,9.759522088949145
Vier-Quellen-Weg,46.52410363959044,8.515455447785284
ViaJura,47.3600693814028,7.393850520728947
Wilket-Gratweg,47.34034647065409,9.18128142752833
Jura-Höhenweg,47.13699259020617,7.075800302152153
Terrasses de Lavaux,46.490641082670216,6.741471604161785
Schwyzer Höhenweg,47.083164987172154,8.618888451038003
Dreiland-Wanderweg,47.56248878678801,7.626613810331945
Höhi-Wispile-Lauenensee-Weg,46.40266592335491,7.3146273481509505
Le Grand Tour des Vanils,46.459949253812695,7.039505450166525
ViaSurprise,47.410808642165456,7.586903183328147
Appenzeller Kapellenweg,47.333413214929344,9.411936014179702
Breccaschlund-Panoramaweg,46.647294777749174,7.2770793632463056
Leiternweide-Hängebrückenweg,46.66845359275729,7.455734298476319
Pazolastock-Rheinquelle-Weg,46.64232361398715,8.672870466915159
Wildenstein – Rifenstein Weg,47.430599424011255,7.736255388556948
Gorges du Gottéron,46.80252897143048,7.185905283956662
Au fil du Doubs,47.22221729103749,6.924252867735073
Weissenstein-Passwang-Weg,47.29311605861764,7.5550621300702225
Fafleralp-Rundweg,46.446282881443246,7.886572434552855
Via Capricorn,46.64021024639821,9.331440297661983
Gommer Höhenweg,46.51526800579347,8.303701196245521
Sentiero Val da Camp,46.39825978964737,10.13154433050164
Sentier des statues,47.039057124473054,6.8348762180397005
Iffigsee-Rundweg,46.397027567946964,7.418246183339664
L’Intyamon de Montbovon à la Brâ,46.48996078155915,7.048784806378888
Sentier panoramique des Paccots,46.51659501247527,6.976387565794995
Chemin d’Ossona,46.181283442783695,7.425631034213431
La Berra par la Valsainte,46.65498812982882,7.199785016572952
Erlebnisweg Glaspass,46.68635593447375,9.348821928511793
Chemin du Lac de Taney,46.34853873439376,6.85154600803494
Schwarzwasser-Sense-Schluchtenweg,46.837422140472796,7.365578572230847
Über die Raspille,46.32390295209925,7.586518519314857
Chemin du Vallon de Réchy,46.20333285159835,7.513344343372388
Zauberwasser-Weg Grächen,46.194530104463595,7.842579109601172
Sentier historique du Vully,46.959516191310655,7.0956506813026765
Senda Desertina,46.69871730788999,8.846412014768177
Wolfsschlucht-Weg,47.290510889343075,7.550070365690991
Sentiero Caprino-Cantine di Gandria,45.99176466355879,9.00018034581573
Randen Weg,47.7693966279904,8.544588517615143
ViaJacobi,47.07609523638361,7.752160005805278
Siebenbrunnen-Weg,46.41485034623015,7.4714705127837515
Höhenweg Schächental,46.89015627027937,8.74425867176134
Tüfelsschlucht-Belchen-Weg,47.36060241727004,7.8442917360523206
Au sommet du Jura,46.59295279453609,6.3027170660131295
SWL026.RT,45.91669548035263,8.940179906920106
Tour du Vallon des Vaux,46.781694954273036,6.752290999825987
Senda Ils Lejins,46.42253864505636,9.791097632596644
Schijenfluh Umrundung,47.015313903438496,9.86991647437065
Chemin du Vallon de l’Aubonne,46.511075288354895,6.376177343167561
Sentier du Sel,46.29059850207059,7.014613570149357
Chemin de Bellelay,47.26849361412645,7.197713865119485
Chemin de la Grande Cariçaie,46.83196863602913,6.8199615560684705
5-Seenweg Zermatt,46.01196651272451,7.789316276420531
Sentier du Mont d'Or,46.7198438797914,6.369275782880091
Chemin des villages d’Evolène,46.095593884955484,7.503277285562711
